method	size	cycle
                        baseline	1024	0.8252
                        blocking	1024	1.1387
                  fused_blocking	1024	0.8867
              specialised_widget	1024	0.7891
        fully_specialised_widget	1024	0.9033
                  threaded_inreg	1024	2.8320
            threaded_inreg_fused	1024	2.0273
               wired_inreg_fused	1024	1.6025
                        baseline	4096	0.6697
                        blocking	4096	0.7068
                  fused_blocking	4096	0.7751
              specialised_widget	4096	0.7295
        fully_specialised_widget	4096	0.7534
                  threaded_inreg	4096	1.2268
            threaded_inreg_fused	4096	1.1003
               wired_inreg_fused	4096	1.1736
                        baseline	32768	0.5246
                        blocking	32768	0.7437
                  fused_blocking	32768	0.5338
              specialised_widget	32768	0.4836
        fully_specialised_widget	32768	0.5490
                  threaded_inreg	32768	1.0363
            threaded_inreg_fused	32768	0.8270
               wired_inreg_fused	32768	0.7946
                        baseline	262144	0.6258
                        blocking	262144	0.6704
                  fused_blocking	262144	0.5400
              specialised_widget	262144	0.7202
        fully_specialised_widget	262144	0.7234
                  threaded_inreg	262144	0.9225
            threaded_inreg_fused	262144	0.7516
               wired_inreg_fused	262144	0.6078
                        baseline	524288	0.6128
                        blocking	524288	0.6171
                  fused_blocking	524288	0.6335
              specialised_widget	524288	0.6358
        fully_specialised_widget	524288	0.7263
                  threaded_inreg	524288	0.7375
            threaded_inreg_fused	524288	0.7656
               wired_inreg_fused	524288	0.7182
                        baseline	1048576	0.6376
                        blocking	1048576	0.6889
                  fused_blocking	1048576	0.6779
              specialised_widget	1048576	0.5765
        fully_specialised_widget	1048576	0.6538
                  threaded_inreg	1048576	0.7968
            threaded_inreg_fused	1048576	0.6518
               wired_inreg_fused	1048576	0.5811
                        baseline	2097152	0.5980
                        blocking	2097152	0.5822
                  fused_blocking	2097152	0.6388
              specialised_widget	2097152	0.6662
        fully_specialised_widget	2097152	0.6666
                  threaded_inreg	2097152	0.6565
            threaded_inreg_fused	2097152	0.6733
               wired_inreg_fused	2097152	0.6548
                        baseline	4194304	0.5689
                        blocking	4194304	0.6047
                  fused_blocking	4194304	0.5599
              specialised_widget	4194304	0.5893
        fully_specialised_widget	4194304	0.5846
                  threaded_inreg	4194304	0.6442
            threaded_inreg_fused	4194304	0.6163
               wired_inreg_fused	4194304	0.5662
                        baseline	8388608	0.5505
                        blocking	8388608	0.5661
                  fused_blocking	8388608	0.5376
              specialised_widget	8388608	0.5542
        fully_specialised_widget	8388608	0.5554
                  threaded_inreg	8388608	0.6319
            threaded_inreg_fused	8388608	0.5815
               wired_inreg_fused	8388608	0.5639
                        baseline	16777216	0.5406
                        blocking	16777216	0.5717
                  fused_blocking	16777216	0.5544
              specialised_widget	16777216	0.5510
        fully_specialised_widget	16777216	0.5515
                  threaded_inreg	16777216	0.6253
            threaded_inreg_fused	16777216	0.5821
               wired_inreg_fused	16777216	0.5668
                        baseline	33554432	0.5375
                        blocking	33554432	0.5887
                  fused_blocking	33554432	0.5658
              specialised_widget	33554432	0.5630
        fully_specialised_widget	33554432	0.5654
                  threaded_inreg	33554432	0.6685
            threaded_inreg_fused	33554432	0.5905
               wired_inreg_fused	33554432	0.5839
                        baseline	268435456	0.5506
                        blocking	268435456	0.6024
                  fused_blocking	268435456	0.5743
              specialised_widget	268435456	0.5798
        fully_specialised_widget	268435456	0.5825
                  threaded_inreg	268435456	0.6546
            threaded_inreg_fused	268435456	0.5956
               wired_inreg_fused	268435456	0.5738
                        baseline	1024	0.6885
                        blocking	1024	0.5518
                  fused_blocking	1024	0.9766
              specialised_widget	1024	0.8945
        fully_specialised_widget	1024	0.6924
                  threaded_inreg	1024	2.3105
            threaded_inreg_fused	1024	2.3418
               wired_inreg_fused	1024	1.8896
                        baseline	4096	0.7144
                        blocking	4096	0.8857
                  fused_blocking	4096	0.7678
              specialised_widget	4096	0.6113
        fully_specialised_widget	4096	0.7361
                  threaded_inreg	4096	1.3289
            threaded_inreg_fused	4096	1.1458
               wired_inreg_fused	4096	1.0190
                        baseline	32768	0.5650
                        blocking	32768	0.6596
                  fused_blocking	32768	0.6505
              specialised_widget	32768	0.6469
        fully_specialised_widget	32768	0.6656
                  threaded_inreg	32768	0.9476
            threaded_inreg_fused	32768	0.8262
               wired_inreg_fused	32768	0.7872
                        baseline	262144	0.6312
                        blocking	262144	0.6885
                  fused_blocking	262144	0.6561
              specialised_widget	262144	0.6940
        fully_specialised_widget	262144	0.6055
                  threaded_inreg	262144	0.9135
            threaded_inreg_fused	262144	0.7616
               wired_inreg_fused	262144	0.6138
                        baseline	524288	0.5771
                        blocking	524288	0.6929
                  fused_blocking	524288	0.5539
              specialised_widget	524288	0.6977
        fully_specialised_widget	524288	0.7245
                  threaded_inreg	524288	0.7946
            threaded_inreg_fused	524288	0.6510
               wired_inreg_fused	524288	0.6767
                        baseline	1048576	0.4690
                        blocking	1048576	0.6247
                  fused_blocking	1048576	0.6121
              specialised_widget	1048576	0.6164
        fully_specialised_widget	1048576	0.5982
                  threaded_inreg	1048576	0.7512
            threaded_inreg_fused	1048576	0.6860
               wired_inreg_fused	1048576	0.6727
                        baseline	2097152	0.5999
                        blocking	2097152	0.6419
                  fused_blocking	2097152	0.5948
              specialised_widget	2097152	0.5680
        fully_specialised_widget	2097152	0.6680
                  threaded_inreg	2097152	0.6716
            threaded_inreg_fused	2097152	0.6627
               wired_inreg_fused	2097152	0.6475
                        baseline	4194304	0.5972
                        blocking	4194304	0.6025
                  fused_blocking	4194304	0.5641
              specialised_widget	4194304	0.5965
        fully_specialised_widget	4194304	0.6246
                  threaded_inreg	4194304	0.6606
            threaded_inreg_fused	4194304	0.6001
               wired_inreg_fused	4194304	0.5929
                        baseline	8388608	0.5417
                        blocking	8388608	0.5810
                  fused_blocking	8388608	0.5680
              specialised_widget	8388608	0.5613
        fully_specialised_widget	8388608	0.5595
                  threaded_inreg	8388608	0.6340
            threaded_inreg_fused	8388608	0.5884
               wired_inreg_fused	8388608	0.5679
                        baseline	16777216	0.5410
                        blocking	16777216	0.5751
                  fused_blocking	16777216	0.5559
              specialised_widget	16777216	0.5531
        fully_specialised_widget	16777216	0.5532
                  threaded_inreg	16777216	0.6265
            threaded_inreg_fused	16777216	0.5853
               wired_inreg_fused	16777216	0.5668
                        baseline	33554432	0.5382
                        blocking	33554432	0.5964
                  fused_blocking	33554432	0.5712
              specialised_widget	33554432	0.5739
        fully_specialised_widget	33554432	0.5755
                  threaded_inreg	33554432	0.6697
            threaded_inreg_fused	33554432	0.5944
               wired_inreg_fused	33554432	0.5841
                        baseline	268435456	0.5537
                        blocking	268435456	0.6052
                  fused_blocking	268435456	0.5688
              specialised_widget	268435456	0.5810
        fully_specialised_widget	268435456	0.5867
                  threaded_inreg	268435456	0.7200
            threaded_inreg_fused	268435456	0.6241
               wired_inreg_fused	268435456	0.6012
                        baseline	1024	1.1006
                        blocking	1024	1.3740
                  fused_blocking	1024	1.2070
              specialised_widget	1024	1.0361
        fully_specialised_widget	1024	1.1914
                  threaded_inreg	1024	2.6045
            threaded_inreg_fused	1024	2.1133
               wired_inreg_fused	1024	2.3662
                        baseline	4096	0.5928
                        blocking	4096	1.1172
                  fused_blocking	4096	0.7771
              specialised_widget	4096	0.7827
        fully_specialised_widget	4096	0.6553
                  threaded_inreg	4096	1.3423
            threaded_inreg_fused	4096	1.2480
               wired_inreg_fused	4096	1.2097
                        baseline	32768	0.6097
                        blocking	32768	0.7295
                  fused_blocking	32768	0.5646
              specialised_widget	32768	0.6713
        fully_specialised_widget	32768	0.6614
                  threaded_inreg	32768	0.9919
            threaded_inreg_fused	32768	0.8294
               wired_inreg_fused	32768	0.6275
                        baseline	262144	0.5336
                        blocking	262144	0.6003
                  fused_blocking	262144	0.6328
              specialised_widget	262144	0.6380
        fully_specialised_widget	262144	0.6942
                  threaded_inreg	262144	0.6870
            threaded_inreg_fused	262144	0.7275
               wired_inreg_fused	262144	0.7038
                        baseline	524288	0.6267
                        blocking	524288	0.6988
                  fused_blocking	524288	0.6737
              specialised_widget	524288	0.5940
        fully_specialised_widget	524288	0.6591
                  threaded_inreg	524288	0.8203
            threaded_inreg_fused	524288	0.7576
               wired_inreg_fused	524288	0.5727
                        baseline	1048576	0.6273
                        blocking	1048576	0.6322
                  fused_blocking	1048576	0.6294
              specialised_widget	1048576	0.6953
        fully_specialised_widget	1048576	0.7001
                  threaded_inreg	1048576	0.6795
            threaded_inreg_fused	1048576	0.6838
               wired_inreg_fused	1048576	0.6697
                        baseline	2097152	0.5925
                        blocking	2097152	0.6555
                  fused_blocking	2097152	0.6252
              specialised_widget	2097152	0.5776
        fully_specialised_widget	2097152	0.6440
                  threaded_inreg	2097152	0.7358
            threaded_inreg_fused	2097152	0.6539
               wired_inreg_fused	2097152	0.5675
                        baseline	4194304	0.5565
                        blocking	4194304	0.6288
                  fused_blocking	4194304	0.6201
              specialised_widget	4194304	0.5870
        fully_specialised_widget	4194304	0.5758
                  threaded_inreg	4194304	0.6595
            threaded_inreg_fused	4194304	0.6057
               wired_inreg_fused	4194304	0.5645
                        baseline	8388608	0.5461
                        blocking	8388608	0.5764
                  fused_blocking	8388608	0.5783
              specialised_widget	8388608	0.5626
        fully_specialised_widget	8388608	0.5600
                  threaded_inreg	8388608	0.6353
            threaded_inreg_fused	8388608	0.5832
               wired_inreg_fused	8388608	0.5685
                        baseline	16777216	0.5410
                        blocking	16777216	0.5775
                  fused_blocking	16777216	0.5564
              specialised_widget	16777216	0.5530
        fully_specialised_widget	16777216	0.5528
                  threaded_inreg	16777216	0.6259
            threaded_inreg_fused	16777216	0.5829
               wired_inreg_fused	16777216	0.6089
                        baseline	33554432	0.5403
                        blocking	33554432	0.6832
                  fused_blocking	33554432	0.6702
              specialised_widget	33554432	0.6757
        fully_specialised_widget	33554432	0.6860
                  threaded_inreg	33554432	0.8250
            threaded_inreg_fused	33554432	0.7485
               wired_inreg_fused	33554432	0.7224
                        baseline	268435456	0.5627
                        blocking	268435456	0.6075
                  fused_blocking	268435456	0.5786
              specialised_widget	268435456	0.5808
        fully_specialised_widget	268435456	0.5820
                  threaded_inreg	268435456	0.6978
            threaded_inreg_fused	268435456	0.6094
               wired_inreg_fused	268435456	0.5903
                        baseline	1024	0.8682
                        blocking	1024	1.2764
                  fused_blocking	1024	0.8232
              specialised_widget	1024	0.8584
        fully_specialised_widget	1024	0.9121
                  threaded_inreg	1024	2.1074
            threaded_inreg_fused	1024	1.8340
               wired_inreg_fused	1024	1.8340
                        baseline	4096	0.5942
                        blocking	4096	0.7937
                  fused_blocking	4096	0.7537
              specialised_widget	4096	0.7087
        fully_specialised_widget	4096	0.5759
                  threaded_inreg	4096	1.1807
            threaded_inreg_fused	4096	1.0442
               wired_inreg_fused	4096	0.7991
                        baseline	32768	0.6130
                        blocking	32768	0.7064
                  fused_blocking	32768	0.4839
              specialised_widget	32768	0.5397
        fully_specialised_widget	32768	0.5977
                  threaded_inreg	32768	0.9496
            threaded_inreg_fused	32768	0.8089
               wired_inreg_fused	32768	0.6270
                        baseline	262144	0.6145
                        blocking	262144	0.5353
                  fused_blocking	262144	0.5248
              specialised_widget	262144	0.5478
        fully_specialised_widget	262144	0.6276
                  threaded_inreg	262144	0.8721
            threaded_inreg_fused	262144	0.7144
               wired_inreg_fused	262144	0.5755
                        baseline	524288	0.5561
                        blocking	524288	0.6833
                  fused_blocking	524288	0.6286
              specialised_widget	524288	0.6970
        fully_specialised_widget	524288	0.5799
                  threaded_inreg	524288	0.8174
            threaded_inreg_fused	524288	0.7031
               wired_inreg_fused	524288	0.6984
                        baseline	1048576	0.5982
                        blocking	1048576	0.6752
                  fused_blocking	1048576	0.5789
              specialised_widget	1048576	0.6582
        fully_specialised_widget	1048576	0.6806
                  threaded_inreg	1048576	0.8218
            threaded_inreg_fused	1048576	0.6385
               wired_inreg_fused	1048576	0.6731
                        baseline	2097152	0.5176
                        blocking	2097152	0.6687
                  fused_blocking	2097152	0.6255
              specialised_widget	2097152	0.5683
        fully_specialised_widget	2097152	0.5759
                  threaded_inreg	2097152	0.7649
            threaded_inreg_fused	2097152	0.6801
               wired_inreg_fused	2097152	0.5669
                        baseline	4194304	0.5831
                        blocking	4194304	0.5979
                  fused_blocking	4194304	0.6110
              specialised_widget	4194304	0.5841
        fully_specialised_widget	4194304	0.5659
                  threaded_inreg	4194304	0.6682
            threaded_inreg_fused	4194304	0.5879
               wired_inreg_fused	4194304	0.5796
                        baseline	8388608	0.5459
                        blocking	8388608	0.5808
                  fused_blocking	8388608	0.5930
              specialised_widget	8388608	0.5595
        fully_specialised_widget	8388608	0.5596
                  threaded_inreg	8388608	0.6342
            threaded_inreg_fused	8388608	0.5848
               wired_inreg_fused	8388608	0.5679
                        baseline	16777216	0.5407
                        blocking	16777216	0.5744
                  fused_blocking	16777216	0.5575
              specialised_widget	16777216	0.5529
        fully_specialised_widget	16777216	0.5538
                  threaded_inreg	16777216	0.6264
            threaded_inreg_fused	16777216	0.5823
               wired_inreg_fused	16777216	0.5675
                        baseline	33554432	0.5363
                        blocking	33554432	0.5839
                  fused_blocking	33554432	0.5597
              specialised_widget	33554432	0.5586
        fully_specialised_widget	33554432	0.5594
                  threaded_inreg	33554432	0.6235
            threaded_inreg_fused	33554432	0.5800
               wired_inreg_fused	33554432	0.5683
                        baseline	268435456	0.5399
                        blocking	268435456	0.5936
                  fused_blocking	268435456	0.5689
              specialised_widget	268435456	0.5787
        fully_specialised_widget	268435456	0.5804
                  threaded_inreg	268435456	0.6943
            threaded_inreg_fused	268435456	0.6138
               wired_inreg_fused	268435456	0.5984
                        baseline	1024	1.0791
                        blocking	1024	1.4014
                  fused_blocking	1024	1.0889
              specialised_widget	1024	1.1309
        fully_specialised_widget	1024	0.8291
                  threaded_inreg	1024	2.9551
            threaded_inreg_fused	1024	2.8096
               wired_inreg_fused	1024	2.2451
                        baseline	4096	0.7178
                        blocking	4096	0.8188
                  fused_blocking	4096	0.7930
              specialised_widget	4096	0.7856
        fully_specialised_widget	4096	0.7976
                  threaded_inreg	4096	1.1753
            threaded_inreg_fused	4096	0.8386
               wired_inreg_fused	4096	1.1565
                        baseline	32768	0.6104
                        blocking	32768	0.7434
                  fused_blocking	32768	0.6404
              specialised_widget	32768	0.6456
        fully_specialised_widget	32768	0.4833
                  threaded_inreg	32768	0.9244
            threaded_inreg_fused	32768	0.8050
               wired_inreg_fused	32768	0.7696
                        baseline	262144	0.6285
                        blocking	262144	0.6966
                  fused_blocking	262144	0.5843
              specialised_widget	262144	0.6893
        fully_specialised_widget	262144	0.7192
                  threaded_inreg	262144	0.7114
            threaded_inreg_fused	262144	0.7178
               wired_inreg_fused	262144	0.7315
                        baseline	524288	0.5767
                        blocking	524288	0.6581
                  fused_blocking	524288	0.6824
              specialised_widget	524288	0.6971
        fully_specialised_widget	524288	0.5836
                  threaded_inreg	524288	0.8436
            threaded_inreg_fused	524288	0.7559
               wired_inreg_fused	524288	0.7190
                        baseline	1048576	0.6322
                        blocking	1048576	0.7011
                  fused_blocking	1048576	0.6267
              specialised_widget	1048576	0.6021
        fully_specialised_widget	1048576	0.6970
                  threaded_inreg	1048576	0.7953
            threaded_inreg_fused	1048576	0.7192
               wired_inreg_fused	1048576	0.6114
                        baseline	2097152	0.5500
                        blocking	2097152	0.6634
                  fused_blocking	2097152	0.6187
              specialised_widget	2097152	0.6706
        fully_specialised_widget	2097152	0.5992
                  threaded_inreg	2097152	0.7531
            threaded_inreg_fused	2097152	0.6927
               wired_inreg_fused	2097152	0.6463
                        baseline	4194304	0.5721
                        blocking	4194304	0.5793
                  fused_blocking	4194304	0.5866
              specialised_widget	4194304	0.6184
        fully_specialised_widget	4194304	0.5908
                  threaded_inreg	4194304	0.6514
            threaded_inreg_fused	4194304	0.5820
               wired_inreg_fused	4194304	0.6044
                        baseline	8388608	0.5167
                        blocking	8388608	0.5769
                  fused_blocking	8388608	0.5888
              specialised_widget	8388608	0.5628
        fully_specialised_widget	8388608	0.5593
                  threaded_inreg	8388608	0.6372
            threaded_inreg_fused	8388608	0.5833
               wired_inreg_fused	8388608	0.5682
                        baseline	16777216	0.5415
                        blocking	16777216	0.5729
                  fused_blocking	16777216	0.5572
              specialised_widget	16777216	0.5522
        fully_specialised_widget	16777216	0.5543
                  threaded_inreg	16777216	0.6276
            threaded_inreg_fused	16777216	0.5861
               wired_inreg_fused	16777216	0.5690
                        baseline	33554432	0.5382
                        blocking	33554432	0.5923
                  fused_blocking	33554432	0.5767
              specialised_widget	33554432	0.5698
        fully_specialised_widget	33554432	0.5762
                  threaded_inreg	33554432	0.6700
            threaded_inreg_fused	33554432	0.6042
               wired_inreg_fused	33554432	0.5838
                        baseline	268435456	0.5555
                        blocking	268435456	0.6007
                  fused_blocking	268435456	0.8484
              specialised_widget	268435456	0.5679
        fully_specialised_widget	268435456	0.5822
                  threaded_inreg	268435456	0.7065
            threaded_inreg_fused	268435456	0.6143
               wired_inreg_fused	268435456	0.6003
