"method" "size" "median" "min" "max"
"1" "baseline" 1024 0.8682 0.6885 1.1006
"2" "baseline" 4096 0.6697 0.5928 0.7178
"3" "baseline" 32768 0.6097 0.5246 0.613
"4" "baseline" 262144 0.6258 0.5336 0.6312
"5" "baseline" 524288 0.5771 0.5561 0.6267
"6" "baseline" 1048576 0.6273 0.469 0.6376
"7" "baseline" 2097152 0.5925 0.5176 0.5999
"8" "baseline" 4194304 0.5721 0.5565 0.5972
"9" "baseline" 8388608 0.5459 0.5167 0.5505
"10" "baseline" 16777216 0.541 0.5406 0.5415
"11" "baseline" 33554432 0.5382 0.5363 0.5403
"12" "baseline" 268435456 0.5537 0.5399 0.5627
"13" "blocking" 1024 1.2764 0.5518 1.4014
"14" "blocking" 4096 0.8188 0.7068 1.1172
"15" "blocking" 32768 0.7295 0.6596 0.7437
"16" "blocking" 262144 0.6704 0.5353 0.6966
"17" "blocking" 524288 0.6833 0.6171 0.6988
"18" "blocking" 1048576 0.6752 0.6247 0.7011
"19" "blocking" 2097152 0.6555 0.5822 0.6687
"20" "blocking" 4194304 0.6025 0.5793 0.6288
"21" "blocking" 8388608 0.5769 0.5661 0.581
"22" "blocking" 16777216 0.5744 0.5717 0.5775
"23" "blocking" 33554432 0.5923 0.5839 0.6832
"24" "blocking" 268435456 0.6024 0.5936 0.6075
"25" "fully_specialised_widget" 1024 0.9033 0.6924 1.1914
"26" "fully_specialised_widget" 4096 0.7361 0.5759 0.7976
"27" "fully_specialised_widget" 32768 0.5977 0.4833 0.6656
"28" "fully_specialised_widget" 262144 0.6942 0.6055 0.7234
"29" "fully_specialised_widget" 524288 0.6591 0.5799 0.7263
"30" "fully_specialised_widget" 1048576 0.6806 0.5982 0.7001
"31" "fully_specialised_widget" 2097152 0.644 0.5759 0.668
"32" "fully_specialised_widget" 4194304 0.5846 0.5659 0.6246
"33" "fully_specialised_widget" 8388608 0.5595 0.5554 0.56
"34" "fully_specialised_widget" 16777216 0.5532 0.5515 0.5543
"35" "fully_specialised_widget" 33554432 0.5755 0.5594 0.686
"36" "fully_specialised_widget" 268435456 0.5822 0.5804 0.5867
"37" "fused_blocking" 1024 0.9766 0.8232 1.207
"38" "fused_blocking" 4096 0.7751 0.7537 0.793
"39" "fused_blocking" 32768 0.5646 0.4839 0.6505
"40" "fused_blocking" 262144 0.5843 0.5248 0.6561
"41" "fused_blocking" 524288 0.6335 0.5539 0.6824
"42" "fused_blocking" 1048576 0.6267 0.5789 0.6779
"43" "fused_blocking" 2097152 0.6252 0.5948 0.6388
"44" "fused_blocking" 4194304 0.5866 0.5599 0.6201
"45" "fused_blocking" 8388608 0.5783 0.5376 0.593
"46" "fused_blocking" 16777216 0.5564 0.5544 0.5575
"47" "fused_blocking" 33554432 0.5712 0.5597 0.6702
"48" "fused_blocking" 268435456 0.5743 0.5688 0.8484
"49" "specialised_widget" 1024 0.8945 0.7891 1.1309
"50" "specialised_widget" 4096 0.7295 0.6113 0.7856
"51" "specialised_widget" 32768 0.6456 0.4836 0.6713
"52" "specialised_widget" 262144 0.6893 0.5478 0.7202
"53" "specialised_widget" 524288 0.697 0.594 0.6977
"54" "specialised_widget" 1048576 0.6164 0.5765 0.6953
"55" "specialised_widget" 2097152 0.5776 0.568 0.6706
"56" "specialised_widget" 4194304 0.5893 0.5841 0.6184
"57" "specialised_widget" 8388608 0.5613 0.5542 0.5628
"58" "specialised_widget" 16777216 0.5529 0.551 0.5531
"59" "specialised_widget" 33554432 0.5698 0.5586 0.6757
"60" "specialised_widget" 268435456 0.5798 0.5679 0.581
"61" "threaded_inreg" 1024 2.6045 2.1074 2.9551
"62" "threaded_inreg" 4096 1.2268 1.1753 1.3423
"63" "threaded_inreg" 32768 0.9496 0.9244 1.0363
"64" "threaded_inreg" 262144 0.8721 0.687 0.9225
"65" "threaded_inreg" 524288 0.8174 0.7375 0.8436
"66" "threaded_inreg" 1048576 0.7953 0.6795 0.8218
"67" "threaded_inreg" 2097152 0.7358 0.6565 0.7649
"68" "threaded_inreg" 4194304 0.6595 0.6442 0.6682
"69" "threaded_inreg" 8388608 0.6342 0.6319 0.6372
"70" "threaded_inreg" 16777216 0.6264 0.6253 0.6276
"71" "threaded_inreg" 33554432 0.6697 0.6235 0.825
"72" "threaded_inreg" 268435456 0.6978 0.6546 0.72
"73" "threaded_inreg_fused" 1024 2.1133 1.834 2.8096
"74" "threaded_inreg_fused" 4096 1.1003 0.8386 1.248
"75" "threaded_inreg_fused" 32768 0.8262 0.805 0.8294
"76" "threaded_inreg_fused" 262144 0.7275 0.7144 0.7616
"77" "threaded_inreg_fused" 524288 0.7559 0.651 0.7656
"78" "threaded_inreg_fused" 1048576 0.6838 0.6385 0.7192
"79" "threaded_inreg_fused" 2097152 0.6733 0.6539 0.6927
"80" "threaded_inreg_fused" 4194304 0.6001 0.582 0.6163
"81" "threaded_inreg_fused" 8388608 0.5833 0.5815 0.5884
"82" "threaded_inreg_fused" 16777216 0.5829 0.5821 0.5861
"83" "threaded_inreg_fused" 33554432 0.5944 0.58 0.7485
"84" "threaded_inreg_fused" 268435456 0.6138 0.5956 0.6241
"85" "wired_inreg_fused" 1024 1.8896 1.6025 2.3662
"86" "wired_inreg_fused" 4096 1.1565 0.7991 1.2097
"87" "wired_inreg_fused" 32768 0.7696 0.627 0.7946
"88" "wired_inreg_fused" 262144 0.6138 0.5755 0.7315
"89" "wired_inreg_fused" 524288 0.6984 0.5727 0.719
"90" "wired_inreg_fused" 1048576 0.6697 0.5811 0.6731
"91" "wired_inreg_fused" 2097152 0.6463 0.5669 0.6548
"92" "wired_inreg_fused" 4194304 0.5796 0.5645 0.6044
"93" "wired_inreg_fused" 8388608 0.5679 0.5639 0.5685
"94" "wired_inreg_fused" 16777216 0.5675 0.5668 0.6089
"95" "wired_inreg_fused" 33554432 0.5839 0.5683 0.7224
"96" "wired_inreg_fused" 268435456 0.5984 0.5738 0.6012
